NumFloors,YearBuilt,YearAlter1,YearAlter2
5,1900,2006,0
5,1900,2014,0
1,1900,0,0
2,1987,0,0
1,1951,0,0
3,1960,0,0
50,1969,0,0
22,1969,0,0
40,1970,0,0
4.5,1900,0,0
4.5,1920,0,0
5,1900,0,0
5,1900,0,0
5,1935,0,0
3,1900,0,0
4,1900,0,0
5.5,1900,0,0
5,1900,0,0
6,1920,0,0
4.5,1920,1996,0
7.5,1950,2009,2009
29,2015,0,0
19,1985,2007,2007
32,1970,1988,2002
4.5,1954,1965,0
42,1987,1985,0
35,1971,0,0
2,1963,0,0
30,1986,2003,2004
7,1921,1982,0
24,1930,1988,0
5,1910,1979,0
21,1962,1989,0
5,1910,0,0
43,2007,0,0
32,1958,1980,1999
6,1920,0,0
4,1920,1988,0
4,1900,1965,2008
4,1900,1989,0
4,1920,1960,2004
19,1909,1989,0
5.5,1908,1989,2007
6,1930,1973,0
35,1935,1985,0
3,1910,0,0
5,1900,2006,0
7,1907,0,0
14,1900,1982,0
22,1900,1920,0
23,1921,2010,0
31,1931,0,0
31,1902,1998,0
45,1930,2004,0
3,1910,2012,0
27,1989,0,0
4,1997,2002,0
9,1998,0,0
9,1998,0,0
8,2008,0,0
5,1983,0,0
39,1986,0,0
43,1987,0,0
50,1986,0,0
33,1986,0,0
27,2002,0,0
24,2004,0,0
24,2004,0,0
27,1998,0,0
14,1998,0,0
42,1998,0,0
10,1989,0,0
25,1997,0,0
25,1998,0,0
17,1997,0,0
44,2006,0,0
25,1985,0,0
15,1986,0,0
17,1985,0,0
9,1986,0,0
26,1987,0,0
9,1985,0,0
9,1986,0,0
44,1987,0,0
9,1988,0,0
28,1988,0,0
9,1990,0,0
14,1988,0,0
38,2003,0,0
35,2006,0,0
23,1985,0,0
31,2006,0,0
33,2006,0,0
15,1985,2007,0
22,2008,0,0
32,2008,0,0
27,2000,0,0
63,2014,0,0
27,1969,2003,0
8,1967,0,0
15,1920,0,0
7,1949,0,0
38,1956,2002,0
4,1900,1989,0
6,1930,1990,0
7,1900,0,0
5,1900,1988,0
3,2004,0,0
30,1931,0,0
36,1928,0,0
33,1983,0,0
